Thetas,H1_empty,B2_empty,FWHM_empty
1.223733003708281863e+00,5.686999999999999318e+02,2.680972463896373270e+01,1.281999999999999886e+02
1.279357231149567342e+00,5.686999999999999318e+02,2.680901596368637740e+01,1.281999999999999886e+02
1.334981458590853043e+00,5.686999999999999318e+02,2.680827578106957887e+01,1.281999999999999886e+02
1.390605686032138522e+00,5.686999999999999318e+02,2.680750408971411147e+01,1.281999999999999886e+02
1.446229913473424000e+00,5.686999999999999318e+02,2.680670088815932317e+01,1.281999999999999886e+02
1.501854140914709701e+00,5.686999999999999318e+02,2.680586617488297918e+01,1.281999999999999886e+02
1.557478368355995180e+00,5.685999999999999091e+02,2.680499994830088539e+01,2.213000000000000114e+02
1.613102595797280658e+00,5.685999999999999091e+02,2.680410220676673205e+01,2.211999999999999886e+02
1.668726823238566137e+00,5.685999999999999091e+02,2.680317294857182020e+01,2.211999999999999886e+02
1.724351050679851838e+00,5.685999999999999091e+02,2.680221217194470995e+01,2.211999999999999886e+02
1.779975278121137316e+00,5.685999999999999091e+02,2.680121987505103931e+01,2.211999999999999886e+02
1.835599505562422795e+00,5.685999999999999091e+02,2.680019605599315824e+01,2.655000000000000000e+02
1.891223733003708496e+00,5.685999999999999091e+02,2.679914071280980536e+01,2.655000000000000000e+02
1.946847960444993975e+00,5.685999999999999091e+02,2.679805384347586639e+01,2.655000000000000000e+02
2.002472187886279453e+00,5.685999999999999091e+02,2.679693544590197973e+01,1.281999999999999886e+02
2.058096415327565154e+00,5.685999999999999091e+02,2.679578551793422392e+01,2.211999999999999886e+02
2.113720642768850411e+00,5.685999999999999091e+02,2.679460405735375517e+01,2.211999999999999886e+02
2.169344870210136111e+00,5.685999999999999091e+02,2.679339106187644859e+01,2.211999999999999886e+02
2.224969097651421812e+00,5.685999999999999091e+02,2.679214652915256067e+01,2.210999999999999943e+02
2.280593325092707069e+00,5.684999999999998863e+02,2.679087045676628520e+01,2.210999999999999943e+02
2.336217552533992770e+00,5.684999999999998863e+02,2.678956284223544770e+01,2.210999999999999943e+02
2.391841779975278470e+00,5.684999999999998863e+02,2.678822368301099743e+01,2.210999999999999943e+02
2.447466007416563727e+00,5.684999999999998863e+02,2.678685297647664854e+01,2.210999999999999943e+02
2.503090234857849428e+00,5.684999999999998863e+02,2.678545071994850701e+01,1.281999999999999886e+02
2.558714462299134684e+00,5.684999999999998863e+02,2.678401691067450585e+01,1.281999999999999886e+02
2.614338689740420385e+00,5.684999999999998863e+02,2.678255154583412079e+01,1.281999999999999886e+02
2.669962917181706086e+00,5.684999999999998863e+02,2.678105462253774149e+01,1.280999999999999943e+02
2.725587144622991342e+00,5.684999999999998863e+02,2.677952613782633051e+01,2.653999999999999773e+02
2.781211372064277043e+00,5.684999999999998863e+02,2.677796608867091166e+01,2.653999999999999773e+02
2.836835599505562744e+00,5.683999999999999773e+02,2.677637447197204779e+01,2.653999999999999773e+02
2.892459826946848001e+00,5.683999999999999773e+02,2.677475128455935760e+01,2.210999999999999943e+02
