Thetas,H1_hollow_10layers_70-80-60-80nm,H1_full_10layers_80nm
8.5533919598,429.5,495.9
8.6092964824,429.4,495.9
8.665201005,429.4,495.9
8.7211055276,429.4,495.8
8.7770100503,429.4,495.8
8.8329145729,429.3,495.8
8.8888190955,429.3,495.8
8.9447236181,429.3,495.7
9.0006281407,429.3,495.7
9.0565326633,429.2,495.7
9.1124371859,429.2,495.7
9.1683417085,429.2,495.6
9.2242462312,429.2,495.6
9.2801507538,429.1,495.6
9.3360552764,429.1,495.6
9.391959799,429.1,495.5
9.4478643216,429.1,495.5
9.5037688442,429,495.5
9.5596733668,429,495.4
9.6155778894,429,495.4
9.6714824121,428.9,495.4
9.7273869347,428.9,495.4
9.7832914573,428.9,495.3
9.8391959799,428.9,495.3
9.8951005025,428.8,495.3
9.9510050251,428.8,495.2
10.0069095477,428.8,495.2
10.0628140704,428.8,495.2
10.118718593,428.7,495.2
10.1746231156,428.7,495.1
10.2305276382,428.7,495.1
10.2864321608,428.6,495.1
10.3423366834,428.6,495
10.398241206,428.6,495
10.4541457286,428.5,495
10.5100502513,428.5,495
10.5659547739,428.5,494.9
10.6218592965,428.5,494.9
10.6777638191,428.4,494.9
10.7336683417,428.4,494.8
10.7895728643,428.4,494.8
10.8454773869,428.3,494.8
10.9013819095,428.3,494.7
10.9572864322,428.3,494.7
11.0131909548,428.2,494.7
11.0690954774,428.2,494.6
11.125,428.2,494.6
11.1809045226,428.2,494.6
11.2368090452,428.1,494.6
11.2927135678,428.1,494.5
11.3486180905,428.1,494.5
11.4045226131,428,494.5
11.4604271357,428,494.4
11.5163316583,428,494.4
11.5722361809,427.9,494.4
11.6281407035,427.9,494.3
11.6840452261,427.9,494.3
11.7399497487,427.8,494.3
11.7958542714,427.8,494.2
11.851758794,427.8,494.2
11.9076633166,427.7,494.2
11.9635678392,427.7,494.1
12.0194723618,427.7,494.1
12.0753768844,427.6,494.1
12.131281407,427.6,494
12.1871859296,427.6,494
12.2430904523,427.5,494
12.2989949749,427.5,493.9
12.3548994975,427.5,493.9
12.4108040201,427.4,493.8
12.4667085427,427.4,493.8
12.5226130653,427.4,493.8
12.5785175879,427.3,493.7
12.6344221106,427.3,493.7
12.6903266332,427.3,493.7
12.7462311558,427.2,493.6
12.8021356784,427.2,493.6
12.858040201,427.1,493.6
12.9139447236,427.1,493.5
12.9698492462,427.1,493.5
13.0257537688,427,493.5
13.0816582915,427,493.4
13.1375628141,427,493.4
13.1934673367,426.9,493.3
13.2493718593,426.9,493.3
13.3052763819,426.9,493.3
13.3611809045,426.8,493.2
13.4170854271,426.8,493.2
13.4729899497,426.7,493.2
13.5288944724,426.7,493.1
13.584798995,426.7,493.1
13.6407035176,426.6,493
13.6966080402,426.6,493
13.7525125628,426.6,493
13.8084170854,426.5,492.9
13.864321608,426.5,492.9
13.9202261307,426.4,492.8
13.9761306533,426.4,492.8
14.0320351759,426.4,492.8
14.0879396985,426.3,492.7
14.1438442211,426.3,492.7
14.1997487437,426.2,492.6
14.2556532663,426.2,492.6
14.3115577889,426.2,492.6
14.3674623116,426.1,492.5
14.4233668342,426.1,492.5
14.4792713568,426,492.4
14.5351758794,426,492.4
14.591080402,426,492.4
14.6469849246,425.9,492.3
14.7028894472,425.9,492.3
14.7587939698,425.8,492.2
14.8146984925,425.8,492.2
14.8706030151,425.8,492.2
14.9265075377,425.7,492.1
14.9824120603,425.7,492.1
15.0383165829,425.6,492
15.0942211055,425.6,492
15.1501256281,425.5,491.9
15.2060301508,425.5,491.9
15.2619346734,425.5,491.9
15.317839196,425.4,491.8
15.3737437186,425.4,491.8
15.4296482412,425.3,491.7
15.4855527638,425.3,491.7
15.5414572864,425.3,491.6
15.597361809,425.2,491.6
15.6532663317,425.2,491.6
15.7091708543,425.1,491.5
15.7650753769,425.1,491.5
15.8209798995,425,491.4
15.8768844221,425,491.4
15.9327889447,424.9,491.3
15.9886934673,424.9,491.3
16.0445979899,424.9,491.2
16.1005025126,424.8,491.2
16.1564070352,424.8,491.2
16.2123115578,424.7,491.1
16.2682160804,424.7,491.1
16.324120603,424.6,491
16.3800251256,424.6,491
16.4359296482,424.5,490.9
16.4918341709,424.5,490.9
16.5477386935,424.5,490.8
16.6036432161,424.4,490.8
16.6595477387,424.4,490.7
16.7154522613,424.3,490.7
16.7713567839,424.3,490.6
16.8272613065,424.2,490.6
16.8831658291,424.2,490.6
16.9390703518,424.1,490.5
16.9949748744,424.1,490.5
17.050879397,424,490.4
17.1067839196,424,490.4
17.1626884422,423.9,490.3
17.2185929648,423.9,490.3
17.2744974874,423.8,490.2
17.3304020101,423.8,490.2
17.3863065327,423.8,490.1
17.4422110553,423.7,490.1
17.4981155779,423.7,490
17.5540201005,423.6,490
17.6099246231,423.6,489.9
17.6658291457,423.5,489.9
17.7217336683,423.5,489.8
17.777638191,423.4,489.8
17.8335427136,423.4,489.7
17.8894472362,423.3,489.7
17.9453517588,423.3,489.6
18.0012562814,423.2,489.6
18.057160804,423.2,489.5
18.1130653266,423.1,489.5
18.1689698492,423.1,489.4
18.2248743719,423,489.4
18.2807788945,423,489.3
18.3366834171,422.9,489.3
18.3925879397,422.9,489.2
18.4484924623,422.8,489.2
18.5043969849,422.8,489.1
18.5603015075,422.7,489.1
18.6162060302,422.7,489
18.6721105528,422.6,489
18.7280150754,422.6,488.9
18.783919598,422.5,488.9
18.8398241206,422.5,488.8
18.8957286432,422.4,488.8
18.9516331658,422.4,488.7
19.0075376884,422.3,488.7
19.0634422111,422.3,488.6
19.1193467337,422.2,488.6
19.1752512563,422.2,488.5
19.2311557789,422.1,488.4
19.2870603015,422,488.4
19.3429648241,422,488.3
19.3988693467,421.9,488.3
19.4547738693,421.9,488.2
19.510678392,421.8,488.2
19.5665829146,421.8,488.1
19.6224874372,421.7,488.1
19.6783919598,421.7,488
19.7342964824,421.6,488
19.790201005,421.6,487.9
19.8461055276,421.5,487.9
19.9020100503,421.5,487.8
19.9579145729,421.4,487.7
20.0138190955,421.4,487.7
20.0697236181,421.3,487.6
20.1256281407,421.2,487.6
20.1815326633,421.2,487.5
20.2374371859,421.1,487.5
20.2933417085,421.1,487.4
20.3492462312,421,487.4
20.4051507538,421,487.3
20.4610552764,420.9,487.2
20.516959799,420.9,487.2
20.5728643216,420.8,487.1
20.6287688442,420.7,487.1
20.6846733668,420.7,487
20.7405778894,420.6,487
20.7964824121,420.6,486.9
20.8523869347,420.5,486.8
20.9082914573,420.5,486.8
20.9641959799,420.4,486.7
21.0201005025,420.4,486.7
21.0760050251,420.3,486.6
21.1319095477,420.2,486.6
21.1878140704,420.2,486.5
21.243718593,420.1,486.4
21.2996231156,420.1,486.4
21.3555276382,420,486.3
21.4114321608,419.9,486.3
21.4673366834,419.9,486.2
21.523241206,419.8,486.1
21.5791457286,419.8,486.1
21.6350502513,419.7,486
