Thetas,B2_hollow_5layers_80nm,B2_hollow_10layers_100nm,B2_full_10layers_80nm,B2_hollow_10layers_70-80-60-80nm
5.8140703518,0.2105189968,0.2095596682,0.0815679133,0.1651269459
5.8699748744,0.2104957709,0.2095374773,0.081561215,0.1651083468
5.925879397,0.2104723308,0.2095150788,0.0815544508,0.1650895727
5.9817839196,0.2104486765,0.2094924727,0.0815476206,0.1650706238
6.0376884422,0.2104248084,0.2094696592,0.0815407245,0.1650515001
6.0935929648,0.2104007266,0.2094466383,0.0815337623,0.1650322017
6.1494974874,0.2103764315,0.2094234102,0.081526734,0.1650127286
6.2054020101,0.2103519231,0.2093999749,0.0815196397,0.1649930809
6.2613065327,0.2103272017,0.2093763327,0.0815124792,0.1649732586
6.3172110553,0.2103022676,0.2093524836,0.0815052524,0.1649532619
6.3731155779,0.2102771209,0.2093284276,0.0814979595,0.1649330908
6.4290201005,0.2102517619,0.209304165,0.0814906003,0.1649127453
6.4849246231,0.2102261909,0.2092796958,0.0814831748,0.1648922255
6.5408291457,0.210200408,0.2092550202,0.0814756829,0.1648715314
6.5967336683,0.2101744135,0.2092301382,0.0814681246,0.1648506632
6.652638191,0.2101482076,0.2092050499,0.0814605,0.1648296208
6.7085427136,0.2101217906,0.2091797556,0.0814528088,0.1648084043
6.7644472362,0.2100951626,0.2091542552,0.0814450512,0.1647870138
6.8203517588,0.210068324,0.2091285488,0.081437227,0.1647654494
6.8762562814,0.2100412749,0.2091026367,0.0814293362,0.164743711
6.932160804,0.2100140156,0.2090765188,0.0814213788,0.1647217988
6.9880653266,0.2099865464,0.2090501954,0.0814133548,0.1646997128
7.0439698492,0.2099588674,0.2090236664,0.0814052641,0.164677453
7.0998743719,0.209930979,0.208996932,0.0813971066,0.1646550195
7.1557788945,0.2099028813,0.2089699924,0.0813888824,0.1646324123
7.2116834171,0.2098745746,0.2089428475,0.0813805915,0.1646096315
7.2675879397,0.2098460592,0.2089154976,0.0813722337,0.1645866772
7.3234924623,0.2098173352,0.2088879427,0.081363809,0.1645635493
7.3793969849,0.209788403,0.2088601828,0.0813553175,0.1645402479
7.4353015075,0.2097592628,0.2088322182,0.081346759,0.1645167731
7.4912060302,0.2097299148,0.2088040489,0.0813381336,0.1644931249
7.5471105528,0.2097003594,0.208775675,0.0813294412,0.1644693034
7.6030150754,0.2096705966,0.2087470966,0.0813206818,0.1644453085
7.658919598,0.2096406269,0.2087183138,0.0813118554,0.1644211403
7.7148241206,0.2096104503,0.2086893267,0.0813029619,0.1643967989
